target_id,family,family_short,tier_id,tier_label,tier_name,category,contract_source,public_source,private_source,declared_in_public_contract,used_in_public_examples,used_in_private_scenarios,private_seen_in_public_examples,private_only_but_declared,private_undeclared,private_coverage_pct
campus_registrar_command,Campus Registrar,Campus,tier_c,Tier C,Regulated,Rendered tables,local,local,local,10,9,7,6,1,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_c,Tier C,Regulated,Events,local,local,local,1,0,1,0,1,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_d,Tier D,Release stage,Actions,local,local,local,38,35,36,34,2,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_d,Tier D,Release stage,State / observation paths,local,local,local,84,65,34,32,2,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_d,Tier D,Release stage,Routes/pages,local,local,local,6,1,4,0,4,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_d,Tier D,Release stage,Rendered tables,local,local,local,11,11,5,5,0,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_d,Tier D,Release stage,Events,local,local,local,2,1,2,1,1,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_a,Tier A,Consumer,Actions,local,local,local,23,18,20,15,5,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_a,Tier A,Consumer,State / observation paths,local,local,local,27,17,11,10,1,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_a,Tier A,Consumer,Routes/pages,local,local,local,3,0,0,0,0,0,
media_campaign_launch_desk,Media Campaign,Media,tier_a,Tier A,Consumer,Rendered tables,local,local,local,3,3,2,2,0,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_a,Tier A,Consumer,Events,local,local,local,0,0,0,0,0,0,
media_campaign_launch_desk,Media Campaign,Media,tier_c,Tier C,Regulated,Actions,local,local,local,28,24,23,21,2,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_c,Tier C,Regulated,State / observation paths,local,local,local,47,37,32,32,0,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_c,Tier C,Regulated,Routes/pages,local,local,local,5,3,5,3,2,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_c,Tier C,Regulated,Rendered tables,local,local,local,7,7,5,5,0,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_c,Tier C,Regulated,Events,local,local,local,0,0,0,0,0,0,
media_campaign_launch_desk,Media Campaign,Media,tier_d,Tier D,Release stage,Actions,local,local,local,40,38,38,37,1,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_d,Tier D,Release stage,State / observation paths,local,local,local,74,50,41,34,7,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_d,Tier D,Release stage,Routes/pages,local,local,local,5,2,4,2,2,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_d,Tier D,Release stage,Rendered tables,local,local,local,9,8,3,3,0,0,100.0
media_campaign_launch_desk,Media Campaign,Media,tier_d,Tier D,Release stage,Events,local,local,local,0,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_a,Tier A,Consumer,Actions,local,local,local,18,17,16,15,1,0,100.0
homefix_hub,Home Services,Home,tier_a,Tier A,Consumer,State / observation paths,local,local,local,50,13,9,7,2,0,100.0
homefix_hub,Home Services,Home,tier_a,Tier A,Consumer,Routes/pages,local,local,local,3,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_a,Tier A,Consumer,Rendered tables,local,local,local,2,2,1,1,0,0,100.0
homefix_hub,Home Services,Home,tier_a,Tier A,Consumer,Events,local,local,local,0,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_b,Tier B,Operational,Actions,local,local,local,24,21,19,19,0,0,100.0
homefix_hub,Home Services,Home,tier_b,Tier B,Operational,State / observation paths,local,local,local,50,13,10,6,4,0,100.0
homefix_hub,Home Services,Home,tier_b,Tier B,Operational,Routes/pages,local,local,local,4,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_b,Tier B,Operational,Rendered tables,local,local,local,4,3,1,0,1,0,100.0
homefix_hub,Home Services,Home,tier_b,Tier B,Operational,Events,local,local,local,0,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_c,Tier C,Regulated,Actions,local,local,local,34,26,33,25,8,0,100.0
homefix_hub,Home Services,Home,tier_c,Tier C,Regulated,State / observation paths,local,local,local,55,16,20,9,11,0,100.0
homefix_hub,Home Services,Home,tier_c,Tier C,Regulated,Routes/pages,local,local,local,5,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_c,Tier C,Regulated,Rendered tables,local,local,local,6,4,3,2,1,0,100.0
homefix_hub,Home Services,Home,tier_c,Tier C,Regulated,Events,local,local,local,0,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_d,Tier D,Release stage,Actions,local,local,local,42,32,37,30,7,0,100.0
homefix_hub,Home Services,Home,tier_d,Tier D,Release stage,State / observation paths,local,local,local,54,19,25,12,13,0,100.0
homefix_hub,Home Services,Home,tier_d,Tier D,Release stage,Routes/pages,local,local,local,6,0,0,0,0,0,
homefix_hub,Home Services,Home,tier_d,Tier D,Release stage,Rendered tables,local,local,local,8,4,2,1,1,0,100.0
homefix_hub,Home Services,Home,tier_d,Tier D,Release stage,Events,local,local,local,0,0,0,0,0,0,
