source_figure,source_panel,source_file,grain,plot_role,row_order,metric_order,metric,metric_label,value,value_pct,ci95_low_pct,ci95_high_pct,ci95_halfwidth_pct,full_pass,denominator,count_label,n_points,runs,suite,suite_label,family,family_label,tier,tier_label,model_tier,model_group,model,model_label,model_order,input_source,denominator_policy,data_scope,notes
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.32600917272042407,32.60091727204241,,,,,170.0,,,170.0,,,,Overall,,,M,Mini,gpt54_nano,GPT-5.4 nano,0.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.3257024006448264,32.57024006448264,,,,,169.0,,,169.0,,,,Overall,,,M,Mini,claude_haiku45,Claude Haiku 4.5,1.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.12210080263273156,12.210080263273156,,,,,170.0,,,170.0,,,,Overall,,,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,2.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.01764705882352941,1.7647058823529411,,,,3.0,170.0,3/170 (1.8%),,170.0,,,,Overall,,,T,Turbo,gpt54_mini,GPT-5.4 mini,3.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.20588235294117646,20.588235294117645,,,,35.0,170.0,35/170 (20.6%),,170.0,,,,Overall,,,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,4.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.12352941176470589,12.352941176470589,,,,21.0,170.0,21/170 (12.4%),,170.0,,,,Overall,,,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,5.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.0577655106720445,5.77655106720445,,,,,170.0,,,170.0,,,,Overall,,,T,Turbo,gpt54_mini,GPT-5.4 mini,3.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.5414716006249924,54.147160062499246,,,,,170.0,,,170.0,,,,Overall,,,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,4.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.40865183223991836,40.865183223991835,,,,,170.0,,,170.0,,,,Overall,,,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,5.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.16069934216381154,16.069934216381153,,,,,170.0,,,170.0,,,,Overall,,,T,Turbo,gpt54_mini,GPT-5.4 mini,3.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
