suite,family,tier,tier_name,model_tier,model_group,model_id,model,runs,full_pass,formal_mean,stepwise_mean,source
freshcart_market,Grocery,C,Regulated,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.12523364485981306,0.35342490180711256,raw_current
freshcart_market,Grocery,C,Regulated,F,Frontier,gpt54,GPT-5.4,10,0,0.3953271028037383,0.6338722267098031,raw_current
freshcart_market,Grocery,C,Regulated,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.5177570093457943,0.7860796397357789,raw_current
freshcart_market,Grocery,C,Regulated,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,4,0.5700934579439252,0.7042312253221051,raw_current
freshcart_market,Grocery,D,Release-stage,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.06386554621848738,0.20078703572408058,raw_current
freshcart_market,Grocery,D,Release-stage,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.026050420168067228,0.13067338101493695,raw_current
freshcart_market,Grocery,D,Release-stage,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.0773352037569515,raw_current
freshcart_market,Grocery,D,Release-stage,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.014285714285714271,0.12168219594596708,raw_current
freshcart_market,Grocery,D,Release-stage,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.2168067226890756,0.5031050759639715,raw_current
freshcart_market,Grocery,D,Release-stage,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.11344537815126048,0.3422254273023101,raw_current
freshcart_market,Grocery,D,Release-stage,F,Frontier,gpt54,GPT-5.4,10,0,0.4310924369747899,0.7213023321631626,raw_current
freshcart_market,Grocery,D,Release-stage,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.5462184873949579,0.8381546151290312,raw_current
freshcart_market,Grocery,D,Release-stage,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,1,0.2495798319327731,0.377910340807631,raw_current
