suite,suite_label,tier,model,model_label,model_tier,model_tier_label,runs,formal_mean,stepwise_mean,full_pass,full_total,full_pass_rate,report_view,source
media_campaign_launch_desk,Media Campaign Launch Desk,C,gemini_flash_latest,Gemini 3.1 Flash,T,Mid-range,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,gpt54,GPT-5.4,F,Frontier,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,gpt54_mini,GPT-5.4 mini,T,Mid-range,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,gpt54_nano,GPT-5.4 nano,M,Small,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,group_aggregate,**Group aggregate**,F,Frontier,30.0,0.314,0.413,2.0,30.0,0.06666666666666667,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,claude_haiku45,Claude Haiku 4.5,M,Small,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,claude_opus46,Claude Opus 4.6,F,Frontier,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,gemini31_flash_lite,Gemini 3.1 Flash Lite,M,Small,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,gemini31_pro_preview,Gemini 3.1 Pro Preview,F,Frontier,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,gemini_flash_latest,Gemini 3.1 Flash,T,Mid-range,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,gpt54,GPT-5.4,F,Frontier,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,gpt54_mini,GPT-5.4 mini,T,Mid-range,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,gpt54_nano,GPT-5.4 nano,M,Small,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,D,group_aggregate,**Group aggregate**,F,Frontier,30.0,0.122,0.251,0.0,30.0,0.0,paper_main_reported,evaluation_report
